SN,district,pop
1,achham,257477
2,arghakhanchi,197632
3,baglung,268613
4,baitadi,250898
5,bajhang,195159
6,bajura,134912
7,banke,491313
8,bara,687708
9,bardiya,426576
10,bhaktapur,304651
11,bhojpur,182459
12,chitwan,579984
13,dadeldhura,142094
14,dailekh,261770
15,dang,552583
16,darchula,133274
17,dhading,336067
18,dhankuta,163412
19,dhanusa,754777
20,dolakha,186557
21,dolpa,36700
22,doti,211746
23,gorkha,271061
24,gulmi,280160
25,humla,50858
26,ilam,290254
27,jajarkot,171304
28,jhapa,812650
29,jumla,108921
30,kailali,775709
31,kalikot,136948
32,kanchanpur,451248
33,kapilbastu,571936
34,kaski,492098
35,kathmandu,1744240
36,kavrepalanchok,381937
37,khotang,206312
38,lalitpur,468132
39,lamjung,167724
40,mahottari,627580
41,makwanpur,420477
42,manang,6538
43,morang,965370
44,mugu,55286
45,mustang,13452
46,myagdi,113641
47,nawalparasi1,310864
48,nawalparasi2,310864
49,nuwakot,277471
50,okhaldhunga,147984
51,palpa,261180
52,panchthar,191817
53,parbat,146590
54,parsa,601017
55,pyuthan,228102
56,ramechhap,202646
57,rasuwa,43300
58,rautahat,686723
59,rolpa,224506
60,rukum,207290
61,rupandehi,880196
63,salyan,242444
64,sankhuwasabha,158742
65,saptari,321058
66,sarlahi,769729
67,sindhuli,296192
68,sindhupalchowk,287798
69,siraha,637328
70,solukhumbu,105886
71,sunsari,763497
72,surkhet,350804
73,syangja,289148
74,tanahun,323288
75,taplejung,127461
76,terathum,113111
77,udayapur,317532
